case_id,flux_family,noise_level,sensor_count,sensor_layout,time_resolution,seed,variant_name,flux_l2_error,flux_relative_l2_error,flux_rmse,flux_peak_error,flux_correlation,replay_rmse,replay_relative_error,replay_max_abs_error,roughness_l1,roughness_l2,oscillation_score,sign_flip_count,physical_violation_count,within_bounds_flag,final_decision,success_flag,weak_pass_flag,manual_review_flag,failure_flag,iteration_count,replanning_count,runtime_sec,final_lambda,final_reg_order,final_variant_name,initial_to_final_improvement,last_verifier_decision
case_0007,ramp,0.1,2,"0.01,0.03",1.0,42,no_bounds,21742.692892194333,0.0427059499183678,1976.60844474494,8063.479095306757,0.99720331616839,0.099349937945293,0.0046377277848285,0.3784381103392888,67476.71902197126,14641.885199016082,8.602861534933316e-05,0,0,True,weak_pass,1,1,0,0,1,0,0.0602851891890168,4.388400196433952e-08,1,no_bounds,0.0,weak_pass
case_0007,ramp,0.1,2,"0.01,0.03",1.0,42,no_replanner,21742.692892194333,0.0427059499183678,1976.60844474494,8063.479095306757,0.99720331616839,0.099349937945293,0.0046377277848285,0.3784381103392888,67476.71902197126,14641.885199016082,8.602861534933316e-05,0,0,True,weak_pass,1,1,0,0,1,0,0.0603799731470644,4.388400196433952e-08,1,no_replanner,0.0,weak_pass
case_0007,ramp,0.1,2,"0.01,0.03",1.0,42,no_verifier,21742.692892194333,0.0427059499183678,1976.60844474494,8063.479095306757,0.99720331616839,0.099349937945293,0.0046377277848285,0.3784381103392888,67476.71902197126,14641.885199016082,8.602861534933316e-05,0,0,True,pass,1,0,0,0,1,0,0.060644342098385,4.388400196433952e-08,1,no_verifier,0.0,pass
case_0008,ramp,0.1,2,"0.01,0.03",1.0,123,fixed_lambda_ablation,270459.0529309854,0.5312226423244195,24587.18663008958,47893.51152338294,0.985098183700991,2.251469048861304,0.1051439985353567,6.752291416253854,9.434661478735508e-07,2.2408125816984505e-07,3.6723780228933496e-26,0,0,True,fail,0,0,0,1,9,8,0.4638666803948581,390625.0,1,fixed_lambda_ablation,-6.438889811547196e-06,fail
case_0008,ramp,0.1,2,"0.01,0.03",1.0,123,fixed_reg_order_0,66197.43523340771,0.1300218132049877,6017.948657582519,27805.055884129244,0.9680833920260408,0.1147577920291178,0.0053592089676439,0.6685866869306096,98321.20590362372,29749.53438438256,0.0243245702095153,0,0,True,weak_pass,1,1,0,0,1,0,0.0604478940367698,7.57869381196801e-10,0,fixed_reg_order_0,0.0,weak_pass
case_0008,ramp,0.1,2,"0.01,0.03",1.0,123,fixed_reg_order_2,10547.837312659298,0.0207175539044307,958.8943011508454,2078.8346332246874,0.9991571897570936,0.0969735042200084,0.0045286796151311,0.2875596965908471,76509.44133066908,15953.321328909624,2.172068460617986e-16,0,0,True,weak_pass,1,1,0,0,1,0,0.0604173280298709,0.0757869381196803,2,fixed_reg_order_2,0.0,weak_pass
case_0008,ramp,0.1,2,"0.01,0.03",1.0,123,full_agent_baseline,19572.3008520872,0.0384429704324498,1779.300077462473,7307.429801188657,0.9975750260688184,0.1005190935550792,0.0046942592574727,0.2952547829138439,68639.93078771904,14810.205657195886,9.187046992151552e-05,0,0,True,weak_pass,1,1,0,0,1,0,0.0607231860049068,2.350280975369976e-08,1,full_agent_baseline,0.0,weak_pass
case_0008,ramp,0.1,2,"0.01,0.03",1.0,123,no_bounds,19572.3008520872,0.0384429704324498,1779.300077462473,7307.429801188657,0.9975750260688184,0.1005190935550792,0.0046942592574727,0.2952547829138439,68639.93078771904,14810.205657195886,9.187046992151552e-05,0,0,True,weak_pass,1,1,0,0,1,0,0.0602027727290988,2.350280975369976e-08,1,no_bounds,0.0,weak_pass
case_0008,ramp,0.1,2,"0.01,0.03",1.0,123,no_replanner,19572.3008520872,0.0384429704324498,1779.300077462473,7307.429801188657,0.9975750260688184,0.1005190935550792,0.0046942592574727,0.2952547829138439,68639.93078771904,14810.205657195886,9.187046992151552e-05,0,0,True,weak_pass,1,1,0,0,1,0,0.0604452951811254,2.350280975369976e-08,1,no_replanner,0.0,weak_pass
case_0008,ramp,0.1,2,"0.01,0.03",1.0,123,no_verifier,19572.3008520872,0.0384429704324498,1779.300077462473,7307.429801188657,0.9975750260688184,0.1005190935550792,0.0046942592574727,0.2952547829138439,68639.93078771904,14810.205657195886,9.187046992151552e-05,0,0,True,pass,1,0,0,0,1,0,0.0603760783560574,2.350280975369976e-08,1,no_verifier,0.0,pass
